ATLPIXIBLPS:Iseg/CAN_ISEG/Y2507A2_HV01/1A/Ch00.Actual.VMeas	LI_S01_C_M1_HV_VMeas
2021.09.03 00:30:53.221	319.99856567383
2021.09.03 01:31:10.685	320.00045776367
2021.09.03 02:31:28.067	320.00064086914
2021.09.03 03:31:43.437	319.99856567383
2021.09.03 04:32:01.771	320.00018310547
2021.09.03 05:32:16.266	320.00234985352
2021.09.03 06:32:34.596	320.00231933594
2021.09.03 07:32:49.912	319.9990234375
2021.09.03 08:33:07.259	319.99890136719
2021.09.03 09:33:22.562	319.9997253418
2021.09.03 09:49:39.211	382.83554077148
2021.09.03 09:49:42.213	399.90390014648
2021.09.03 10:50:07.558	400.00210571289
2021.09.03 11:50:25.051	400.00091552734
2021.09.03 12:50:40.374	400.00256347656
2021.09.03 13:50:57.769	399.99954223633
2021.09.03 14:51:13.092	399.9990234375
2021.09.03 15:51:28.426	399.99868774414
2021.09.03 16:51:43.758	399.99893188477
2021.09.03 17:52:02.089	400.00033569336
2021.09.03 18:27:33.511	311.93960571289
2021.09.03 18:27:35.513	300.12075805664
2021.09.03 19:27:57.918	299.99911499023
2021.09.03 20:28:13.309	299.99862670898
2021.09.03 21:28:28.656	299.99862670898
2021.09.03 22:28:43.977	299.99978637695
2021.09.03 23:28:59.310	299.99966430664
2021.09.04 00:29:17.650	299.99938964844
2021.09.04 01:29:31.958	299.99978637695
2021.09.04 02:29:47.265	299.99884033203
2021.09.04 03:30:05.597	299.99908447266
2021.09.04 04:30:21.004	299.99691772461
2021.09.04 05:30:41.337	300.00137329102
2021.09.04 06:30:56.736	300.00054931641
2021.09.04 07:31:12.126	300.00015258789
2021.09.04 08:31:27.468	300.00045776367
2021.09.04 09:15:08.161	260.03561401367
2021.09.04 10:15:25.489	259.9992980957
2021.09.04 11:15:40.816	260.00109863281
2021.09.04 12:15:56.187	259.99914550781
2021.09.04 13:16:11.571	260.00189208984
2021.09.04 14:16:26.978	259.99966430664
2021.09.04 15:16:42.299	260.00238037109
2021.09.04 16:16:57.627	260.0026550293
2021.09.04 17:17:12.957	260.0007019043
2021.09.04 18:17:28.300	260.00231933594
2021.09.04 19:17:43.750	260.00006103516
2021.09.04 20:17:58.245	260.00177001953
2021.09.04 20:43:40.254	239.97441101074
2021.09.04 21:43:55.569	240.00004577637
2021.09.04 22:44:10.924	239.99839782715
2021.09.04 23:44:26.269	239.9986114502
2021.09.05 00:44:41.585	240.00227355957
2021.09.05 01:44:56.964	239.99931335449
2021.09.05 02:45:11.360	240.00003051758
2021.09.05 03:45:27.705	239.99862670898
2021.09.05 04:45:45.003	239.99922180176
2021.09.05 05:46:00.400	239.99984741211
2021.09.05 06:46:17.735	239.99934387207
2021.09.05 07:46:33.023	240.00283813477
2021.09.05 08:46:48.379	239.99911499023
2021.09.05 09:16:06.525	200.01686096191
2021.09.05 10:16:20.972	200.00146484375
2021.09.05 11:16:36.352	200.00225830078
2021.09.05 12:16:53.918	199.99945068359
2021.09.05 13:17:09.255	200.00160217285
2021.09.05 14:17:24.565	199.99574279785
2021.09.05 15:17:39.980	199.9977722168
2021.09.05 16:17:55.607	200.00080871582
